Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points,Pic_Num
85,737131.4454390244,3754499.5419268296,268.73458536585366,0.8061463414634145,-84.43539337748783,33.904236742853655,41,1019
86,737131.5513170732,3754499.6487317076,267.25385365853657,0.8185609756097563,-84.43539220419511,33.90423768051219,41,1019
87,737131.2426153845,3754500.16975,268.0249423076923,0.8059423076923077,-84.43539539998075,33.904242444942305,52,1019
88,737130.9714186047,3754500.2008139524,270.54176744186043,0.7743720930232558,-84.43539832209302,33.90424278546511,43,1019
89,737131.0622619048,3754500.2019523806,269.66197619047614,0.7850952380952382,-84.43539734028572,33.904242774857146,42,1019
90,737130.940403509,3754500.6321929824,268.86543859649123,0.7806315789473685,-84.43539854092982,33.90424667921053,57,1019
91,737131.063576923,3754500.71925,267.2198846153846,0.8027115384615383,-84.43539718651924,33.90424743557692,52,1019
92,737130.5746415093,3754501.0896037733,270.3941320754717,0.7448490566037735,-84.43540236905659,33.9042508820566,53,1019
93,737130.5770727271,3754501.2435636353,269.55032727272726,0.7440545454545455,-84.43540230178182,33.90425226974545,55,1019
94,737130.7287761194,3754501.2259253734,268.08150746268655,0.7744477611940298,-84.43540066735822,33.904252076731346,67,1019
95,737130.4234642858,3754501.703535714,268.7872142857143,0.7363928571428572,-84.43540383742857,33.90425644821429,56,1019
96,737130.5011666667,3754501.8445238103,267.23286904761903,0.7727023809523809,-84.43540295967857,33.90425770107143,84,1019
97,737130.2802321428,3754502.14075,267.97760714285715,0.7396250000000001,-84.43540526694643,33.90426041994643,56,1019
98,737130.1438636364,3754502.5868636365,267.1522272727273,0.7525454545454546,-84.43540661954546,33.90426446970456,44,1019
99,737283.3499166667,3754579.487958333,265.8881666666667,0.8006666666666667,-84.43373035762501,33.90492284841667,24,1054
100,737520.7708548389,3754799.2523064516,266.6435967741935,0.8343548387096774,-84.43110542683873,33.90684940882258,62,1118
101,737725.8432499999,3755027.4856785717,273.1600357142857,0.8484999999999998,-84.42882764875,33.908859514750006,28,1180
102,737797.7452258065,3755106.414580645,275.6041612903226,0.7180967741935484,-84.42802929109676,33.909554427548386,31,1201
103,737855.788586207,3755171.1124137933,276.8993103448276,0.8217241379310348,-84.42738453593104,33.91012424410344,29,1219
104,738062.5334838708,3755392.8960967753,284.1741935483871,0.8185806451612903,-84.42509025806451,33.91207578303225,31,1279
105,738272.4806666666,3755577.87648718,290.340358974359,0.8372051282051283,-84.42277125748718,33.91369495476923,39,1336
106,738327.3712285714,3755613.039257142,290.93062857142854,0.8256,-84.4221685256857,33.91399934625715,35,1349
107,738327.6625555557,3755614.6314444444,290.54116666666664,0.7798611111111111,-84.42216494361111,33.91401362561111,36,1349
108,738391.8175319151,3755653.1691702125,291.20582978723405,0.8442765957446808,-84.4214611730851,33.91434632412766,47,1364
109,738391.8032903227,3755653.20683871,290.4210322580645,0.8344838709677419,-84.42146131741934,33.914346665903224,31,1364
110,738459.0944905662,3755688.015962263,291.5516226415094,0.8159433962264152,-84.42072466024528,33.91464505654717,53,1380
111,738523.8985555554,3755717.284981482,292.0251666666667,0.8455740740740741,-84.420016382,33.91489408855556,54,1394
112,738594.8523888888,3755742.706777778,292.83074999999985,0.8353611111111111,-84.41924268550001,33.91510706075,36,1409
113,738666.63753125,3755766.18359375,293.54143750000003,0.83971875,-84.41846053209375,33.91530231446875,32,1424
114,738666.5948333334,3755766.2176249996,292.7708333333333,0.8177499999999999,-84.41846098391666,33.915302630625,24,1424
115,738739.172347826,3755785.235347826,293.22595652173914,0.8273043478260869,-84.41767147465218,33.91545752517391,23,1440
116,738839.10409375,3755805.90284375,294.96059375,0.76884375,-84.41658590059374,33.915621074406246,32,1460
117,739018.1326521739,3755823.934391305,296.140347826087,0.8096521739130437,-84.41464624647826,33.91574291026087,23,1496
118,739056.0349375,3755827.00175,302.56010416666663,0.7363333333333332,-84.41423580533333,33.91576194189583,48,1504
119,739056.1416621621,3755827.1145810816,301.7105945945946,0.7439594594594594,-84.41423462147297,33.91576293474325,74,1504
120,739056.17364,3755827.75528,301.49872,0.7220799999999998,-84.41423410116,33.91576869956,25,1504
