ID Easting Northing Altitude Retro Angle Distance UTC Long Lat Pic
2123769.0 735455.36 3752118.027 288.651 0.769 0.68425 7.725 69052.66804 -84.454142798 33.883154925 303
2123770.0 735455.356 3752118.026 288.55 0.769 0.67396 7.662000000000001 69052.66807 -84.454142842 33.883154924 303
2123771.0 735455.349 3752118.036 288.458 0.769 0.66368 7.614 69052.6681 -84.454142911 33.883155014 303
2123772.0 735455.344 3752118.042 288.365 0.773 0.6534 7.562 69052.66814 -84.454142969 33.883155067 303
2123773.0 735455.34 3752118.041 288.268 0.773 0.64312 7.502999999999999 69052.66817 -84.45414300899999 33.883155056999996 303
2123901.0 735455.284 3752117.977 288.65 0.765 0.70473 7.525 69052.68129 -84.454143626 33.883154494 303
2123902.0 735455.281 3752117.974 288.548 0.769 0.69445 7.457999999999999 69052.68132 -84.454143664 33.883154472 303
2123903.0 735455.275 3752117.981 288.456 0.769 0.68417 7.406000000000001 69052.68135 -84.45414372399999 33.883154533 303
2123904.0 735455.27 3752117.986 288.363 0.765 0.67388 7.352 69052.68139 -84.45414377899999 33.883154577 303
2123905.0 735455.265 3752117.99 288.271 0.78 0.6636 7.2989999999999995 69052.68142000001 -84.45414383100001 33.883154615 303
2124035.0 735455.202 3752117.92 288.438 0.765 0.7047399999999999 7.186 69052.69461 -84.45414452899999 33.883154 303
2124036.0 735455.198 3752117.923 288.345 0.769 0.6944600000000001 7.129 69052.69463 -84.454144577 33.883154025 303
2124037.0 735455.19 3752117.939 288.265 0.769 0.68418 7.0920000000000005 69052.69467000001 -84.45414466 33.883154171 303
2124169.0 735455.118 3752117.872 288.232 0.765 0.7045399999999999 6.858 69052.70792 -84.454145456 33.883153586 303
2122846.0 735455.859 3752118.435 288.293 0.784 0.53052 9.044 69052.57535 -84.454137296 33.883158494 303
2122847.0 735455.851 3752118.447 288.194 0.8 0.5202399999999999 9.006 69052.57538 -84.454137376 33.883158605 303
2122848.0 735455.846 3752118.45 288.09 0.788 0.5099600000000001 8.958 69052.57541 -84.454137431 33.883158629 303
2122849.0 735455.84 3752118.458 287.99 0.78 0.49968 8.918 69052.57545 -84.4541375 33.883158705 303
2122979.0 735455.781 3752118.378 288.259 0.776 0.54065 8.81 69052.58862000001 -84.454138156 33.883158001999995 303
2122980.0 735455.777 3752118.376 288.153 0.784 0.53037 8.755 69052.58866000001 -84.454138196 33.883157976999996 303
2122981.0 735455.77 3752118.388 288.058 0.792 0.5201 8.719 69052.58869 -84.454138275 33.883158091 303
2122982.0 735455.766 3752118.387 287.955 0.737 0.5098199999999999 8.668 69052.58872 -84.454138317 33.88315808 303
2123112.0 735455.704 3752118.315 288.216 0.78 0.55089 8.565 69052.60191 -84.454138997 33.88315745 303
2123113.0 735455.698 3752118.323 288.119 0.78 0.54061 8.522 69052.60194 -84.454139062 33.88315752 303
2123114.0 735455.691 3752118.333 288.024 0.796 0.53033 8.484 69052.60197 -84.454139133 33.88315761 303
2123245.0 735455.629 3752118.263 288.167 0.776 0.5612199999999999 8.318 69052.61518 -84.454139828 33.883156993 303
2123246.0 735455.622 3752118.272 288.073 0.784 0.55095 8.277000000000001 69052.61522 -84.454139897 33.883157075999996 303
2123247.0 735455.619 3752118.27 287.973 0.784 0.54067 8.224 69052.61525 -84.454139935 33.883157058 303
2123377.0 735455.556 3752118.211 288.209 0.78 0.58163 8.122 69052.62843 -84.45414062399999 33.883156544 303
2123378.0 735455.554 3752118.207 288.107 0.78 0.57135 8.064 69052.62846 -84.454140657 33.883156508 303
2123379.0 735455.55 3752118.207 288.01 0.788 0.56107 8.012 69052.6285 -84.4541407 33.883156506999995 303
2123509.0 735455.487 3752118.148 288.234 0.769 0.60213 7.91 69052.64168 -84.454141396 33.883155988 303
